deal_no,deal_dt,settle_dt,mature_dt,name,ext_name,code,name,name,country,isin,buy_sell, face_value ,bond_price,capitalpph,incomepph,settlepph,coupon
3209114,10/11/2019,10/15/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 20,000,000.00 ",104.567,104.567,0,104.567,0
3214346,10/16/2019,10/18/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 10,000,000.00 ",104.26,104.26,0,104.26,0
3212992,10/15/2019,10/17/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 15,000,000.00 ",104.196,104.196,0,104.196,0
3176029,9/18/2019,9/20/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 15,000,000.00 ",104.958,104.958,0,104.958,0
3168453,9/12/2019,9/16/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 15,000,000.00 ",106.06,106.06,0,106.06,0
3179891,9/20/2019,9/24/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 25,000,000.00 ",105.24,105.24,0,105.24,0
3092350,7/15/2019,7/17/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 15,000,000.00 ",102.484,102.484,0,102.484,0
3132343,8/15/2019,8/19/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 15,000,000.00 ",106.836,106.836,0,106.836,0
3135286,8/19/2019,8/21/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 15,000,000.00 ",107.041,107.041,0,107.041,0
3248966,11/12/2019,11/14/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 15,000,000.00 ",102.407,102.407,0,102.407,0
3266622,11/26/2019,11/28/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,BUY  ," 10,000,000.00 ",103.539,103.539,0,103.539,0
3252407,11/14/2019,11/18/2019,8/15/2029,DE0001102473,DBR 0.00% 19-2029,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102473    ,SELL ," 15,000,000.00 ",103.253,103.253,0,103.253,0
3347268,1/27/2020,1/29/2020,2/15/2030,DE0001102499,DBR 0.00% 20-2030,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102499    ,SELL ," 10,000,000.00 ",103.708,103.708,0,103.708,0
3396778,3/3/2020,3/5/2020,2/15/2030,DE0001102499,DBR 0.00% 20-2030,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102499    ,SELL ," 15,000,000.00 ",106.097,106.097,0,106.097,0
3360579,2/5/2020,2/7/2020,2/15/2030,DE0001102499,DBR 0.00% 20-2030,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102499    ,SELL ," 15,000,000.00 ",104.229,104.229,0,104.229,0
3390367,2/26/2020,2/28/2020,2/15/2030,DE0001102499,DBR 0.00% 20-2030,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102499    ,BUY  ," 20,000,000.00 ",105.006,105.006,0,105.006,0
3406931,3/10/2020,3/12/2020,2/15/2030,DE0001102499,DBR 0.00% 20-2030,RENT1     ,Trade Strategies         ,Bondsrep ber                       ,DE        ,DE0001102499    ,SELL ," 10,000,000.00 ",107.779,107.779,0,107.779,0
